model_name,rte_gpu_hours,stsb_kg_carbon,wnli_total_power,stsb_total_power,mnli_total_power,qnli_kg_carbon,mnli-mm_exp_len_hours,qnli_exp_len_hours,qqp_exp_len_hours,rte_total_power,rte_kg_carbon,sst2_kg_carbon,qqp_kg_carbon,rte_exp_len_hours,qnli_gpu_hours,qqp_gpu_hours,mnli_exp_len_hours,mrpc_gpu_hours,wnli_gpu_hours,wnli_kg_carbon,stsb_exp_len_hours,mrpc_kg_carbon,mnli-mm_gpu_hours,mnli_kg_carbon,wnli_exp_len_hours,stsb_gpu_hours,sst2_gpu_hours,mnli_gpu_hours,qqp_total_power,cola_kg_carbon,cola_gpu_hours,cola_total_power,mrpc_total_power,sst2_total_power,sst2_exp_len_hours,mrpc_exp_len_hours,cola_exp_len_hours,mnli-mm_total_power,mnli-mm_kg_carbon,qnli_total_power
distilbert-base-uncased,0.00942340115359536,0.0013571238566979038,0.001057306857579549,0.005412617487875105,1.069909314586047,0.06245905812746865,4.480067069994079,0.6161556616094377,2.2276457071966593,0.004557422092281183,0.0011426978278683021,0.010246887833253348,0.1610339911471024,0.012202677461836073,0.4527011954227421,1.0957437933918834,4.265461959176593,0.006451575396789446,0.000999170888264974,0.00026510211805763737,0.016013862225744458,0.0007910178437991346,1.4413465402850398,0.2682619746510215,0.003286746342976888,0.010926309807929729,0.0962805143718918,1.4478400013641186,0.642251915566431,0.0012568974159712129,0.011305131226005377,0.005012884344030208,0.003154816705518657,0.040867665842608265,0.15003448161813948,0.00987956080171797,0.019828647242652046,1.0595738041112484,0.2656705172151466,0.24910548040877772
bert-base-uncased,0.017498996314152523,0.0024844967545976896,0.0014438172837841644,0.009908919157330711,2.09581719248367,0.12646146298776595,8.408220846123166,1.3124093511369492,4.697834866642952,0.008030731604340766,0.00201357244834002,0.018613724159826,0.32985404152930514,0.022320805589358013,0.8619427210043646,2.0676697470558354,8.857195981674725,0.012199857639493767,0.0014658404523796502,0.00036201318214812493,0.02833846171696981,0.0013273626065012985,2.7425303239040355,0.5254913205244484,0.004336806072129143,0.020176107298190946,0.1789395683290451,2.741965290856273,1.3155569735336419,0.002203113105709899,0.020749549221495786,0.008786676665419976,0.0052939206847202915,0.07423712169285394,0.2835022422340181,0.018210450278388128,0.03695162746641371,1.9591092880191794,0.49121408608777406,0.5043662910585909
roberta-base,0.01665065322363818,0.002487607902770913,0.001762826318781376,0.009921327350530359,2.1574834478511797,0.1309716485960611,8.096763079961141,1.3423465528090794,5.054266567495134,0.008468147792344477,0.002123247285953335,0.0194061182438103,0.33037138222405543,0.020526229739189147,0.8981587492301398,2.097117391520783,10.052895613908767,0.01182162086157887,0.0018697118057145017,0.00044199939452443216,0.029008642501301234,0.0014856149850423763,2.68411791054889,0.5409531089290317,0.0044305966960059276,0.020887210155747554,0.1847174679268179,2.6946719233566854,1.3176202835828867,0.002337105123927522,0.021341314430832863,0.009321077072178005,0.0059250786938893395,0.07739742725751907,0.2879182274474038,0.01783668061097463,0.03602769719229804,1.985482055794318,0.497826619191207,0.5223542656834118
distilroberta-base,0.008836422312370053,0.0012923774657566587,0.0008749022818475961,0.005154389437313769,0.7327501686748936,0.06111124494727222,1.7578669433461296,0.5588001381026374,1.494409475856357,0.0049441565502528475,0.0012396650642001131,0.010311220957771256,0.13671060625302997,0.01207053866651323,0.4706678349164459,1.116538879044983,1.9565171211295658,0.0066087389335698545,0.001007176212966442,0.00021936720295395165,0.01625357276863522,0.000727414324695934,1.4244748739036917,0.18372492368724683,0.0028172761201858522,0.011469225849343671,0.10197895494737008,1.4273386478063574,0.545242952241369,0.001277229762424101,0.012039149442756617,0.005093975847533955,0.00290114677105444,0.04112424566256849,0.15903153167830572,0.010283598634931777,0.020593671136432224,0.718782003803162,0.18022263854993914,0.2437299966948077
albert-base-v2,0.017267881624499958,0.0022040474242806763,0.0012240132494983407,0.008790403008458217,2.660270205248548,0.13274031854852109,9.933616052203709,1.4472769172324074,7.815161060823335,0.008678196874190622,0.0021759136014078205,0.016236049781986273,0.4368176783719007,0.020172502795855203,0.9114923507758534,2.1409801751702027,12.785114112496377,0.013097268908884789,0.001538354151116477,0.000306900974533978,0.022631431950463188,0.001735262893455,2.924104004178897,0.6670185301091317,0.0029025550021065604,0.018657103918327228,0.14732118134825317,2.9233103854676417,1.7421600786839995,0.0015765462185484342,0.014013462127425052,0.006287739759966599,0.006920749522470461,0.06475424225303535,0.1951453353299035,0.0157614266872406,0.02324942694769965,2.2927976524390954,0.5748808962902727,0.5294082525894095
deberta-base,0.03045175978872511,0.0034642039857777094,0.00196729709176351,0.013816285803574167,2.923223902971618,0.23841338169288637,17.84031589832571,2.7132132099734414,7.512732980582449,0.017036669968324845,0.0042716617799975366,0.027809934312442525,0.5244984367541041,0.03536801583237118,1.681552647092806,3.38112808773022,10.030673683285713,0.017664620370666188,0.0035557416464553947,0.0004932670417640774,0.04322363946172926,0.0018877872334880919,4.618240644652302,0.7329497985178669,0.00631313251124488,0.028744300517660602,0.2549835914014335,4.553409707481751,2.091857273842295,0.0033471385622537045,0.030298138867815336,0.013349393739548961,0.007529062393926741,0.11091436942419851,0.4468429735634062,0.027093019154336716,0.05860965417491065,3.716868855807665,0.9319430770295029,0.9508641622690239
gpt2,0.018881139526212655,0.0027910456070593718,0.0016049393272384407,0.01113152803826168,2.095429175974538,0.1576370034247385,6.6173132583167815,1.6249140375190312,4.218253229988946,0.011766033353313407,0.0029501372669055157,0.018546466485165693,0.35234160813897386,0.02321374754110972,1.106761794092887,2.4603687564017047,7.331447570323944,0.012802002344804782,0.0021070079147815705,0.00040241185608020025,0.028603615230984158,0.0016038265327865885,3.2184228935659265,0.5253940318351006,0.004131388068199158,0.022285796303219266,0.17927628502680196,3.213798790405514,1.4052441422401185,0.002056858627291982,0.020568349852186665,0.008203369884938638,0.00639654184548843,0.07396887788867682,0.2458026561472151,0.01699528025256263,0.03131124801105923,1.9974215043237624,0.5008202374307045,0.628703708406547
